iter	Passed	Remaining
0	155	155229
1	163	81643
2	167	55823
3	173	43196
4	178	35528
5	183	30332
6	187	26624
7	190	23607
8	192	21248
9	195	19327
10	196	17680
11	197	16301
12	200	15225
13	201	14222
14	203	13349
15	204	12587
16	206	11913
17	207	11321
18	208	10786
19	210	10303
20	211	9864
21	213	9505
22	215	9144
23	216	8809
24	217	8499
25	219	8212
26	220	7951
27	221	7705
28	223	7476
29	224	7263
30	225	7063
31	228	6912
32	229	6736
33	231	6570
34	232	6412
35	234	6270
36	235	6129
37	236	5995
38	238	5868
39	239	5748
40	240	5632
41	242	5538
42	244	5434
43	245	5334
44	247	5242
45	248	5151
46	249	5063
47	251	4978
48	252	4897
49	253	4820
50	256	4770
51	257	4698
52	259	4628
53	260	4560
54	261	4496
55	263	4433
56	264	4373
57	265	4315
58	267	4258
59	268	4203
60	270	4165
61	271	4114
62	273	4067
63	274	4019
64	276	3971
65	277	3926
66	278	3881
67	280	3838
68	281	3795
69	282	3755
70	285	3731
71	286	3694
72	287	3657
73	289	3620
74	290	3583
75	291	3548
76	293	3514
77	294	3481
78	295	3448
79	297	3416
80	299	3399
81	300	3369
82	301	3333
83	303	3304
84	304	3277
85	305	3249
86	307	3222
87	308	3196
88	309	3170
89	311	3145
90	313	3134
91	315	3111
92	316	3087
93	317	3063
94	319	3040
95	320	3017
96	321	2995
97	323	2973
98	324	2951
99	325	2931
100	328	2923
101	329	2904
102	331	2884
103	332	2865
104	333	2845
105	335	2826
106	336	2808
107	337	2790
108	339	2772
109	340	2754
110	343	2747
111	344	2731
112	345	2714
113	347	2697
114	348	2681
115	349	2665
116	350	2647
117	352	2631
118	353	2616
119	354	2601
120	357	2595
121	358	2579
122	359	2565
123	361	2551
124	362	2536
125	363	2523
126	364	2507
127	366	2494
128	367	2481
129	369	2471
130	372	2471
131	374	2462
132	376	2451
133	377	2441
134	379	2432
135	381	2421
136	383	2413
137	384	2401
138	387	2401
139	389	2390
140	390	2378
141	391	2364
142	392	2352
143	393	2341
144	395	2330
145	396	2320
146	398	2309
147	399	2298
148	401	2295
149	403	2285
150	404	2274
151	405	2264
152	407	2254
153	408	2244
154	409	2235
155	411	2225
156	412	2216
157	414	2206
158	416	2203
159	417	2193
160	418	2182
161	420	2172
162	421	2163
163	422	2154
164	424	2146
165	425	2137
166	426	2128
167	428	2120
168	430	2117
169	432	2109
170	433	2101
171	434	2092
172	436	2084
173	437	2077
174	438	2069
175	440	2061
176	441	2053
177	442	2045
178	445	2042
179	446	2034
180	448	2027
181	449	2019
182	450	2012
183	452	2004
184	453	1997
185	454	1989
186	455	1982
187	457	1975
188	459	1973
189	461	1966
190	462	1959
191	464	1952
192	465	1945
193	466	1938
194	467	1931
195	469	1924
196	470	1917
197	471	1911
198	474	1909
199	475	1902
200	477	1896
201	478	1890
202	479	1884
203	481	1877
204	482	1871
205	483	1864
206	485	1858
207	486	1852
208	489	1850
209	490	1844
210	491	1839
211	493	1833
212	494	1827
213	495	1820
214	497	1814
215	498	1808
216	499	1802
217	500	1796
218	504	1797
219	506	1794
220	508	1791
221	510	1790
222	512	1785
223	513	1779
224	515	1774
225	518	1774
226	519	1769
227	520	1763
228	522	1758
229	523	1753
230	525	1748
231	526	1742
232	527	1737
233	529	1732
234	530	1727
235	534	1731
236	536	1726
237	537	1721
238	539	1716
239	540	1711
240	541	1706
241	543	1701
242	545	1699
243	548	1700
244	550	1696
245	552	1692
246	553	1688
247	555	1685
248	558	1683
249	559	1679
250	562	1679
251	564	1676
252	566	1673
253	568	1668
254	569	1663
255	570	1658
256	572	1655
257	574	1651
258	575	1647
259	577	1644
260	580	1644
261	582	1640
262	583	1635
263	585	1631
264	586	1626
265	587	1621
266	588	1616
267	590	1613
268	593	1612
269	594	1608
270	596	1603
271	597	1599
272	598	1595
273	600	1590
274	602	1587
275	604	1584
276	607	1584
277	608	1580
278	610	1576
279	611	1571
280	612	1567
281	613	1563
282	615	1558
283	616	1554
284	617	1550
285	619	1545
286	622	1545
287	623	1542
288	625	1537
289	626	1533
